"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2024","20.65","23.24","25.01","19.31","79.78M","-13.67%"
"09/01/2024","23.92","24.15","24.69","21.66","47.04M","2.13%"
"08/25/2024","23.42","22.25","23.48","19.88","40.23M","5.45%"
"08/18/2024","22.21","22.35","23.10","21.96","18.72M","-0.85%"
"08/11/2024","22.40","21.98","22.84","21.45","20.86M","2.14%"
"08/04/2024","21.93","18.83","22.17","18.73","35.08M","4.08%"
"07/28/2024","21.07","24.23","24.38","20.43","42.89M","-12.68%"
"07/21/2024","24.13","24.84","25.98","23.36","46.96M","-3.36%"
"07/14/2024","24.97","25.98","29.79","24.85","96.24M","-4.15%"
"07/07/2024","26.05","24.12","26.89","23.85","72.94M","7.73%"
"06/30/2024","24.18","23.35","25.08","22.31","68.00M","-2.07%"
"06/23/2024","24.69","23.26","26.69","22.55","122.77M","3.18%"
"06/16/2024","23.93","28.55","29.18","23.51","192.46M","-16.62%"
"06/09/2024","28.70","28.97","33.70","22.79","616.65M","1.70%"
"06/02/2024","28.22","40.19","48.00","25.20","776.37M","21.95%"
"05/26/2024","23.14","23.10","26.66","20.10","178.68M","21.79%"
"05/19/2024","19.00","21.54","23.40","17.70","221.61M","-14.45%"
"05/12/2024","22.21","26.34","64.83","19.70","698.27M","27.21%"
"05/05/2024","17.46","14.99","20.20","13.62","159.69M","6.01%"
"04/28/2024","16.47","11.84","17.45","10.70","54.31M","38.40%"
"04/21/2024","11.90","10.41","12.19","10.01","23.19M","14.20%"
"04/14/2024","10.42","10.81","10.84","9.95","15.98M","-3.25%"
"04/07/2024","10.77","11.30","11.39","10.73","17.74M","-4.27%"
"03/31/2024","11.25","12.63","12.67","10.90","28.97M","-10.14%"
"03/24/2024","12.52","13.42","15.63","12.47","54.01M","-4.43%"
"03/17/2024","13.10","14.25","14.30","13.01","19.10M","-8.01%"
"03/10/2024","14.24","14.64","15.20","14.09","14.41M","-2.80%"
"03/03/2024","14.65","14.93","15.89","14.52","16.62M","-2.01%"
"02/25/2024","14.95","13.31","15.09","13.20","15.05M","10.66%"
"02/18/2024","13.51","13.96","14.05","13.12","9.65M","-4.32%"
"02/11/2024","14.12","14.58","15.22","13.77","13.75M","-3.68%"
"02/04/2024","14.66","14.50","15.23","13.40","14.78M","-0.48%"
"01/28/2024","14.73","14.50","14.92","14.02","11.65M","1.66%"
"01/21/2024","14.49","14.50","15.16","13.82","15.54M","-0.14%"
"01/14/2024","14.51","14.60","14.77","13.71","12.59M","-1.63%"
"01/07/2024","14.75","15.78","16.12","14.73","14.80M","-7.58%"
"12/31/2023","15.96","17.25","17.59","15.90","13.91M","-8.96%"
"12/24/2023","17.53","16.98","18.37","16.82","15.99M","3.30%"
