"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","25,750","25,460","25,955","25,440","467.45K","-0.89%"
"2024- 09- 01","25,980","27,305","27,455","25,800","433.79K","-4.75%"
"2024- 08- 25","27,275","27,650","27,680","27,035","398.59K","-0.96%"
"2024- 08- 18","27,540","27,500","27,625","27,110","314.86K","0.44%"
"2024- 08- 11","27,420","26,480","27,465","26,480","293.96K","3.96%"
"2024- 08- 04","26,375","26,590","26,615","24,335","2.82M","-3.16%"
"2024- 07- 28","27,235","27,970","28,435","27,170","378.72K","-2.28%"
"2024- 07- 21","27,870","28,475","28,490","27,545","416.69K","-2.04%"
"2024- 07- 14","28,450","29,155","29,185","28,280","981.50K","-1.91%"
"2024- 07- 07","29,005","29,170","29,440","28,910","799.35K","-0.22%"
"2024- 06- 30","29,070","28,425","29,190","28,240","681.86K","2.29%"
"2024- 06- 23","28,420","28,095","28,420","27,965","869.31K","0.50%"
"2024- 06- 16","28,280","27,900","28,510","27,800","1.19M","0.95%"
"2024- 06- 09","28,015","27,395","28,145","27,305","678.18K","1.43%"
"2024- 06- 02","27,620","26,965","27,690","26,965","264.56K","3.00%"
"2024- 05- 26","26,815","27,410","27,715","26,785","527.49K","-1.83%"
"2024- 05- 19","27,315","27,840","27,985","27,240","279.28K","-1.30%"
"2024- 05- 12","27,675","27,620","28,140","27,520","954.90K","0.00%"
"2024- 05- 05","27,675","27,580","27,915","27,540","581.82K","1.75%"
"2024- 04- 28","27,200","27,185","27,535","27,085","785.37K","-1.47%"
"2024- 04- 21","27,605","27,105","27,830","27,050","1.59M","2.47%"
"2024- 04- 14","26,940","27,545","27,750","26,550","1.39M","-3.23%"
"2024- 04- 07","27,840","28,155","28,420","27,635","134.32K","-0.98%"
"2024- 03- 31","28,115","28,700","28,700","28,055","726.29K","-1.30%"
"2024- 03- 24","28,485","28,405","28,690","28,210","278.84K","0.30%"
"2024- 03- 17","28,400","27,590","28,500","27,315","569.58K","3.03%"
"2024- 03- 10","27,565","27,480","28,035","27,415","342.54K","-0.31%"
"2024- 03- 03","27,650","27,460","27,700","27,150","437.60K","1.19%"
"2024- 02- 25","27,325","27,325","27,390","26,970","627.76K","-0.40%"
"2024- 02- 18","27,435","27,275","27,720","27,215","645.17K","0.59%"
"2024- 02- 11","27,275","27,190","27,345","26,805","407.77K","1.11%"
"2024- 02- 04","26,975","26,885","27,080","26,390","1.00M","0.33%"
"2024- 01- 28","26,885","25,705","26,895","25,555","656.63K","5.37%"
"2024- 01- 21","25,515","25,650","25,785","25,280","1.44M","0.10%"
"2024- 01- 14","25,490","25,985","26,110","25,040","1.54M","-1.98%"
"2024- 01- 07","26,005","26,535","26,725","25,915","1.24M","-2.00%"
"2023- 12- 31","26,535","27,245","27,535","26,440","519.37K","-2.71%"
"2023- 12- 24","27,275","26,560","27,275","26,475","397.05K","3.04%"
"2023- 12- 17","26,470","26,195","26,760","26,080","1.80M","1.07%"
"2023- 12- 10","26,190","25,750","26,285","25,650","1.46M","1.75%"
"2023- 12- 03","25,740","25,705","25,800","25,330","285.37K","0.68%"
"2023- 11- 26","25,565","25,470","25,935","25,400","213.53K","0.31%"
"2023- 11- 19","25,485","25,080","25,710","25,080","244.97K","1.29%"
"2023- 11- 12","25,160","24,755","25,430","24,415","1.57M","2.26%"
"2023- 11- 05","24,605","24,690","25,540","24,440","1.21M","1.93%"
"2023- 10- 29","24,140","23,430","24,185","23,255","364.65K","2.51%"
"2023- 10- 22","23,550","24,205","24,410","23,415","881.95K","-2.99%"
"2023- 10- 15","24,275","24,985","25,210","24,155","341.37K","-3.25%"
"2023- 10- 08","25,090","24,800","25,295","24,535","125.48K","1.99%"
"2023- 10- 01","24,600","24,895","24,900","24,530","251.65K","-2.34%"
"2023- 09- 24","25,190","25,565","25,625","24,990","947.97K","-1.47%"
"2023- 09- 17","25,565","26,375","26,425","25,320","721.89K","-3.25%"
"2023- 09- 10","26,425","25,925","26,555","25,705","248.47K","1.93%"
"2023- 09- 03","25,925","26,160","26,300","25,760","112.62K","-0.71%"
"2023- 08- 27","26,110","25,765","26,185","25,700","52.82K","1.75%"
"2023- 08- 20","25,660","25,590","25,820","25,405","127.71K","0.57%"
"2023- 08- 13","25,515","26,360","26,405","25,285","207.57K","-3.06%"
"2023- 08- 06","26,320","26,400","26,620","26,105","187.95K","-0.74%"
"2023- 07- 30","26,515","26,805","27,165","26,400","215.65K","-0.13%"
"2023- 07- 23","26,550","26,510","26,930","26,175","221.58K","0.15%"
"2023- 07- 16","26,510","26,635","26,695","26,160","439.18K","-0.53%"
"2023- 07- 09","26,650","25,660","26,690","25,630","298.27K","3.54%"
"2023- 07- 02","25,740","26,250","26,530","25,615","221.42K","-1.42%"
"2023- 06- 25","26,110","26,050","26,245","25,870","95.85K","0.06%"
"2023- 06- 18","26,095","26,560","26,560","26,060","507.79K","-2.03%"
