"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","405.72","407.10","408.65","402.20","15.30M","1.00%"
"2024- 09- 01","401.70","417.91","419.88","400.80","69.25M","-3.70%"
"2024- 08- 25","417.14","416.36","422.05","407.31","82.88M","0.08%"
"2024- 08- 18","416.79","418.96","426.79","412.09","85.54M","-0.40%"
"2024- 08- 11","418.47","407.06","421.34","404.24","97.97M","3.07%"
"2024- 08- 04","406.02","389.17","410.08","385.58","125.79M","-0.60%"
"2024- 07- 28","408.49","431.58","432.15","404.34","150.44M","-3.95%"
"2024- 07- 21","425.27","441.79","448.39","417.27","109.25M","-2.71%"
"2024- 07- 14","437.11","453.30","457.26","432.00","95.09M","-3.62%"
"2024- 07- 07","453.55","466.55","467.70","450.64","87.82M","-3.00%"
"2024- 06- 30","467.56","448.66","468.35","445.66","57.58M","4.61%"
"2024- 06- 23","446.95","449.80","456.17","446.41","92.34M","-0.63%"
"2024- 06- 16","449.78","442.58","450.94","440.72","92.27M","1.63%"
"2024- 06- 09","442.57","424.70","443.40","423.89","80.46M","4.42%"
"2024- 06- 02","423.85","415.52","426.28","408.92","77.30M","2.10%"
"2024- 05- 26","415.13","429.63","430.94","404.51","107.66M","-3.49%"
"2024- 05- 19","430.16","420.21","433.60","419.99","84.87M","2.37%"
"2024- 05- 12","420.21","418.01","425.42","410.82","85.67M","1.32%"
"2024- 05- 05","414.74","408.76","415.38","406.37","76.90M","1.99%"
"2024- 04- 28","406.66","405.25","407.15","389.17","107.08M","0.08%"
"2024- 04- 21","406.32","400.08","413.00","388.03","121.37M","1.80%"
"2024- 04- 14","399.12","426.60","426.82","397.77","104.49M","-5.40%"
"2024- 04- 07","421.90","425.17","429.37","419.70","80.22M","-0.85%"
"2024- 03- 31","425.52","423.95","428.67","417.57","86.66M","1.14%"
"2024- 03- 24","420.72","425.24","427.41","419.01","73.36M","-1.87%"
"2024- 03- 17","428.74","414.25","430.82","413.78","96.75M","2.96%"
"2024- 03- 10","416.42","403.76","427.82","401.26","134.93M","2.51%"
"2024- 03- 03","406.22","413.44","417.35","398.39","103.58M","-2.23%"
"2024- 02- 25","415.50","411.45","415.87","403.85","93.98M","1.26%"
"2024- 02- 18","410.34","403.24","415.86","397.22","86.24M","1.55%"
"2024- 02- 11","404.06","420.56","420.74","403.39","113.55M","-3.92%"
"2024- 02- 04","420.55","409.90","420.82","402.91","109.33M","2.27%"
"2024- 01- 28","411.22","406.06","415.32","397.21","164.77M","1.80%"
"2024- 01- 21","403.93","400.02","407.01","393.59","111.23M","1.32%"
