"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","106.47","104.98","106.51","103.70","273.91M","3.54%"
"2024- 09- 01","102.83","116.01","116.21","100.95","1.57B","-13.86%"
"2024- 08- 25","119.37","129.57","131.26","116.71","1.87B","-7.73%"
"2024- 08- 18","129.37","124.28","130.75","123.10","1.58B","3.84%"
"2024- 08- 11","124.58","106.32","125.00","106.26","1.60B","18.93%"
"2024- 08- 04","104.75","92.06","108.80","90.69","2.06B","-2.35%"
"2024- 07- 28","107.27","113.69","120.16","101.37","2.21B","-5.12%"
"2024- 07- 21","113.06","120.35","124.69","106.30","1.51B","-4.13%"
"2024- 07- 14","117.93","130.56","131.39","116.56","1.35B","-8.75%"
"2024- 07- 07","129.24","127.49","136.15","127.04","1.40B","2.71%"
"2024- 06- 30","125.83","123.47","128.85","118.83","933.19M","1.85%"
"2024- 06- 23","123.54","123.24","128.12","118.04","1.83B","-2.39%"
"2024- 06- 16","126.57","132.99","140.76","124.30","1.76B","-4.03%"
"2024- 06- 09","131.88","120.37","132.84","117.01","1.41B","9.09%"
"2024- 06- 02","120.89","113.62","125.59","112.00","2.45B","10.27%"
"2024- 05- 26","109.63","110.24","115.82","106.94","2.31B","2.97%"
"2024- 05- 19","106.47","93.75","106.47","93.18","2.46B","15.13%"
"2024- 05- 12","92.48","90.48","95.82","88.53","1.69B","2.89%"
"2024- 05- 05","89.88","89.39","92.22","88.23","1.85B","1.23%"
"2024- 04- 28","88.79","87.60","89.28","81.25","2.09B","1.20%"
"2024- 04- 21","87.74","78.10","88.33","76.40","2.52B","15.14%"
"2024- 04- 14","76.20","89.10","90.61","75.61","2.63B","-13.59%"
"2024- 04- 07","88.19","88.70","90.74","83.02","2.08B","0.20%"
"2024- 03- 31","88.01","90.30","92.22","85.88","2.09B","-2.60%"
"2024- 03- 24","90.36","93.94","96.77","89.12","2.09B","-4.17%"
"2024- 03- 17","94.29","90.39","94.78","85.01","2.89B","7.35%"
"2024- 03- 10","87.84","86.43","91.96","84.17","3.23B","0.35%"
"2024- 03- 03","87.53","84.13","97.40","83.42","3.47B","6.38%"
