"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","87.58","87.03","87.93","85.81","2.23M","2.50%"
"2024- 09- 01","85.44","95.22","95.28","85.20","15.08M","-11.51%"
"2024- 08- 25","96.55","97.84","98.33","93.21","18.64M","-1.71%"
"2024- 08- 18","98.23","96.41","100.57","95.65","16.70M","1.95%"
"2024- 08- 11","96.35","87.19","96.91","86.11","13.89M","10.86%"
"2024- 08- 04","86.91","77.19","87.48","76.76","24.53M","0.47%"
"2024- 07- 28","86.50","93.48","97.27","84.84","27.22M","-6.43%"
"2024- 07- 21","92.44","100.09","101.42","89.55","16.41M","-5.37%"
"2024- 07- 14","97.69","106.90","108.78","97.15","16.70M","-7.95%"
"2024- 07- 07","106.13","107.07","110.04","104.44","15.08M","-0.74%"
"2024- 06- 30","106.92","100.23","107.11","98.68","8.78M","7.12%"
"2024- 06- 23","99.81","99.72","103.26","97.89","10.34M","-0.39%"
"2024- 06- 16","100.20","100.06","103.17","99.53","8.68M","0.23%"
"2024- 06- 09","99.97","93.00","100.01","92.89","9.00M","6.94%"
"2024- 06- 02","93.48","90.24","94.60","87.62","9.66M","4.89%"
"2024- 05- 26","89.12","92.20","92.43","85.73","8.21M","-2.88%"
"2024- 05- 19","91.76","89.47","92.81","89.32","11.22M","2.59%"
"2024- 05- 12","89.44","86.48","90.59","85.58","11.69M","4.28%"
"2024- 05- 05","85.77","84.02","86.62","83.72","8.82M","2.94%"
"2024- 04- 28","83.32","82.60","83.74","77.79","16.75M","1.82%"
"2024- 04- 21","81.83","76.83","82.39","75.60","22.40M","7.84%"
"2024- 04- 14","75.88","86.40","86.42","75.28","27.91M","-10.68%"
"2024- 04- 07","84.95","86.32","88.12","84.28","19.47M","-1.19%"
"2024- 03- 31","85.97","87.85","88.89","83.92","17.50M","-1.73%"
"2024- 03- 24","87.48","87.41","88.86","86.71","11.01M","-1.16%"
"2024- 03- 17","88.51","85.70","89.74","83.60","15.82M","5.82%"
"2024- 03- 10","83.64","85.17","87.70","83.20","16.62M","-2.47%"
"2024- 03- 03","85.76","88.56","89.60","83.80","19.31M","-3.22%"
"2024- 02- 25","88.61","85.50","88.94","84.22","13.01M","3.95%"
"2024- 02- 18","85.24","82.21","86.73","79.54","15.93M","2.69%"
"2024- 02- 11","83.01","85.60","86.49","81.08","19.70M","-3.12%"
"2024- 02- 04","85.68","82.68","85.98","81.12","14.13M","3.55%"
"2024- 01- 28","82.74","81.03","83.17","78.14","22.95M","2.34%"
"2024- 01- 21","80.85","80.84","83.25","79.73","20.17M","1.08%"
"2024- 01- 14","79.99","75.29","80.04","73.29","18.43M","5.56%"
"2024- 01- 07","75.78","71.68","76.39","71.63","16.20M","6.34%"
"2023- 12- 31","71.26","74.64","74.73","70.74","17.04M","-6.24%"
"2023- 12- 24","76.00","75.92","77.29","75.30","9.91M","0.49%"
"2023- 12- 17","75.63","74.55","76.48","73.68","17.26M","1.84%"
"2023- 12- 10","74.26","69.59","74.85","69.54","18.17M","6.47%"
"2023- 12- 03","69.75","67.69","69.93","66.49","17.83M","0.93%"
"2023- 11- 26","69.11","68.84","70.63","67.64","18.16M","0.13%"
"2023- 11- 19","69.02","67.91","70.30","67.89","16.99M","1.65%"
"2023- 11- 12","67.90","64.79","68.55","64.26","21.48M","3.95%"
"2023- 11- 05","65.32","62.10","65.40","61.56","22.82M","5.61%"
"2023- 10- 29","61.85","55.43","62.27","55.00","29.48M","13.13%"
"2023- 10- 22","54.67","57.30","59.48","53.72","45.20M","-5.40%"
"2023- 10- 15","57.79","61.88","63.16","57.71","26.15M","-5.93%"
"2023- 10- 08","61.43","60.54","64.26","60.01","20.64M","0.20%"
"2023- 10- 01","61.31","59.39","61.71","57.62","23.73M","3.30%"
"2023- 09- 24","59.35","58.96","60.87","57.10","21.30M","0.05%"
"2023- 09- 17","59.32","63.23","64.09","59.19","19.24M","-6.67%"
"2023- 09- 10","63.56","65.38","66.20","63.27","20.65M","-1.17%"
"2023- 09- 03","64.31","65.86","66.74","63.15","12.02M","-2.84%"
"2023- 08- 27","66.19","62.62","67.29","61.68","16.37M","7.40%"
"2023- 08- 20","61.63","60.26","64.64","59.79","24.76M","3.13%"
"2023- 08- 13","59.76","62.36","64.05","58.64","17.27M","-4.57%"
"2023- 08- 06","62.62","65.39","65.85","62.10","23.29M","-3.26%"
"2023- 07- 30","64.73","69.01","69.39","64.57","23.14M","-6.07%"
"2023- 07- 23","68.91","66.56","69.35","65.77","26.06M","4.08%"
"2023- 07- 16","66.21","67.81","70.74","66.08","24.96M","-2.03%"
"2023- 07- 09","67.58","63.05","68.93","62.20","22.77M","6.96%"
"2023- 07- 02","63.18","64.58","65.24","62.59","10.85M","-1.86%"
"2023- 06- 25","64.38","61.94","64.73","60.43","20.26M","3.60%"
"2023- 06- 18","62.14","63.37","64.20","61.35","11.54M","-2.72%"
"2023- 06- 11","63.88","60.00","65.62","59.66","20.19M","7.51%"
"2023- 06- 04","59.42","59.52","60.53","57.38","17.63M","-0.30%"
"2023- 05- 28","59.60","59.01","59.98","56.94","16.64M","3.49%"
"2023- 05- 21","57.59","53.78","57.85","51.62","19.50M","6.91%"
"2023- 05- 14","53.87","50.48","54.41","50.00","19.31M","6.99%"
"2023- 05- 07","50.35","49.58","51.01","49.24","17.37M","1.21%"
"2023- 04- 30","49.75","49.60","50.04","47.41","19.52M","0.02%"
"2023- 04- 23","49.74","47.95","49.75","45.98","21.66M","3.58%"
"2023- 04- 16","48.02","48.57","49.54","47.27","19.30M","-1.38%"
"2023- 04- 09","48.69","47.69","49.24","46.93","17.24M","0.06%"
"2023- 04- 02","48.66","48.89","49.76","47.04","15.92M","-1.84%"
"2023- 03- 26","49.57","46.81","49.63","44.77","18.48M","6.35%"
"2023- 03- 19","46.61","44.72","47.96","44.05","30.37M","3.85%"
"2023- 03- 12","44.88","39.70","46.02","39.24","45.62M","11.73%"
"2023- 03- 05","40.17","43.82","44.68","39.87","33.90M","-7.57%"
"2023- 02- 26","43.46","42.19","43.51","40.25","21.26M","5.33%"
"2023- 02- 19","41.26","42.90","43.32","40.75","20.59M","-6.29%"
"2023- 02- 12","44.03","44.14","46.50","43.16","24.32M","0.69%"
"2023- 02- 05","43.73","44.93","47.14","42.99","29.36M","-4.35%"
"2023- 01- 29","45.72","42.00","48.01","41.14","34.79M","6.40%"
"2023- 01- 22","42.97","39.43","43.56","38.74","29.62M","9.45%"
"2023- 01- 15","39.26","38.75","39.84","36.85","14.14M","1.16%"
"2023- 01- 08","38.81","36.14","38.90","35.64","22.25M","9.02%"
"2023- 01- 01","35.60","35.64","36.03","33.42","19.64M","1.60%"
"2022- 12- 25","35.04","35.23","35.31","33.38","14.41M","-1.10%"
"2022- 12- 18","35.43","37.32","37.54","34.07","22.05M","-4.91%"
"2022- 12- 11","37.26","39.57","43.72","36.82","34.32M","-5.79%"
"2022- 12- 04","39.55","41.97","42.35","38.66","20.17M","-7.25%"
"2022- 11- 27","42.64","40.55","43.54","38.90","19.53M","3.70%"
"2022- 11- 20","41.12","40.18","41.86","39.33","12.37M","1.31%"
"2022- 11- 13","40.59","40.96","43.05","39.40","30.99M","-2.33%"
"2022- 11- 06","41.56","35.66","41.76","34.85","24.58M","17.50%"
"2022- 10- 30","35.37","39.37","40.26","33.90","31.13M","-11.71%"
