"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2024","454.46","453.13","455.45","449.82","32.98M","1.29%"
"09/01/2024","448.69","473.20","473.33","448.19","162.57M","-5.79%"
"08/25/2024","476.27","479.45","480.38","467.89","166.88M","-0.78%"
"08/18/2024","480.00","475.17","485.54","473.37","152.41M","1.05%"
"08/11/2024","475.03","451.39","476.41","448.55","179.28M","5.47%"
"08/04/2024","450.41","424.71","452.06","423.45","287.04M","0.37%"
"07/28/2024","448.75","465.71","475.55","444.47","237.06M","-3.07%"
"07/21/2024","462.97","481.16","484.43","455.63","221.65M","-2.58%"
"07/14/2024","475.24","496.61","501.01","473.94","204.76M","-3.96%"
"07/07/2024","494.82","496.53","503.52","490.73","162.93M","-0.27%"
"06/30/2024","496.16","480.04","496.60","476.25","98.18M","3.56%"
"06/23/2024","479.11","478.18","487.20","473.82","150.84M","-0.22%"
"06/16/2024","480.18","479.46","486.86","478.14","134.84M","0.21%"
"06/09/2024","479.19","461.82","479.26","461.53","126.54M","3.51%"
"06/02/2024","462.96","454.57","465.74","447.90","138.38M","2.72%"
"05/26/2024","450.71","459.18","459.74","443.06","142.61M","-1.58%"
"05/19/2024","457.95","451.98","460.58","451.79","143.33M","1.37%"
"05/12/2024","451.76","443.99","454.69","441.65","169.52M","2.19%"
"05/05/2024","442.06","437.30","444.31","436.52","137.82M","1.51%"
"04/28/2024","435.48","433.13","436.48","420.63","211.01M","1.04%"
"04/21/2024","431.00","417.31","432.55","413.94","239.90M","3.94%"
"04/14/2024","414.65","442.06","442.15","413.07","289.73M","-5.39%"
"04/07/2024","438.27","441.41","446.33","436.28","228.31M","-0.50%"
"03/31/2024","440.47","444.97","447.53","435.11","234.95M","-0.80%"
"03/24/2024","444.01","443.55","447.23","441.93","140.13M","-0.53%"
"03/17/2024","446.38","438.73","449.34","433.33","201.58M","2.87%"
"03/10/2024","433.92","437.51","444.02","432.74","264.35M","-1.16%"
"03/03/2024","439.02","445.61","448.64","433.65","255.10M","-1.48%"
"02/25/2024","445.61","437.60","446.58","434.30","186.04M","2.02%"
"02/18/2024","436.78","428.55","440.59","421.63","197.92M","1.44%"
"02/11/2024","430.57","436.94","439.14","425.33","235.30M","-1.48%"
"02/04/2024","437.05","429.07","437.85","425.00","180.28M","1.87%"
"01/28/2024","429.01","424.27","430.24","416.79","250.06M","1.23%"
"01/21/2024","423.81","423.41","429.85","420.57","206.34M","0.62%"
"01/14/2024","421.18","408.31","421.34","402.92","228.18M","2.84%"
"01/07/2024","409.56","397.99","411.25","397.84","209.70M","3.23%"
"12/31/2023","396.75","405.84","406.09","395.34","189.39M","-3.12%"
"12/24/2023","409.52","409.04","412.92","407.58","124.39M","0.33%"
"12/17/2023","408.17","404.72","410.25","402.69","216.25M","0.75%"
"12/10/2023","405.13","391.53","406.33","391.32","254.17M","3.36%"
"12/03/2023","391.96","385.89","392.41","382.46","232.40M","0.57%"
"11/26/2023","389.74","388.81","393.93","385.62","201.77M","0.11%"
"11/19/2023","389.31","385.85","392.86","385.85","147.77M","0.90%"
"11/12/2023","385.84","376.59","387.55","375.04","254.63M","2.02%"
"11/05/2023","378.19","368.30","378.34","366.72","237.52M","2.90%"
"10/29/2023","367.52","347.65","368.83","346.27","273.41M","6.49%"
"10/22/2023","345.13","353.07","359.72","342.17","321.04M","-2.62%"
"10/15/2023","354.41","366.43","370.29","354.18","294.31M","-2.93%"
"10/08/2023","365.09","362.11","373.54","360.59","232.60M","0.16%"
"10/01/2023","364.51","358.35","365.72","353.09","287.84M","1.80%"
"09/24/2023","358.08","356.74","362.76","351.18","270.17M","0.10%"
"09/17/2023","357.72","369.13","371.59","357.40","241.36M","-3.48%"
"09/10/2023","370.62","375.46","378.07","369.67","245.48M","-0.47%"
"09/03/2023","372.38","376.57","379.11","368.96","163.25M","-1.33%"
"08/27/2023","377.39","366.80","380.63","364.06","216.67M","3.73%"
"08/20/2023","363.83","359.43","372.54","358.39","283.88M","1.65%"
"08/13/2023","357.94","365.24","370.28","354.52","264.66M","-2.22%"
"08/06/2023","366.05","373.68","375.09","364.50","253.85M","-1.56%"
"07/30/2023","371.84","383.59","384.68","371.33","267.57M","-2.98%"
"07/23/2023","383.28","376.42","384.51","374.14","247.19M","2.09%"
"07/16/2023","375.43","379.60","387.78","374.99","282.75M","-0.91%"
"07/09/2023","378.87","365.77","382.66","363.22","250.53M","3.50%"
"07/02/2023","366.05","369.88","371.81","364.33","150.40M","-0.86%"
"06/25/2023","369.23","361.81","370.30","357.40","253.48M","1.90%"
"06/18/2023","362.35","365.76","368.13","360.03","199.11M","-1.47%"
"06/11/2023","367.74","356.00","372.65","355.01","323.51M","3.79%"
"06/04/2023","354.31","354.24","357.47","348.00","258.23M","-0.04%"
"05/28/2023","354.46","352.52","355.64","346.33","241.62M","1.79%"
"05/21/2023","348.22","336.07","349.06","329.39","283.99M","3.54%"
"05/14/2023","336.33","325.34","338.03","323.79","246.65M","3.53%"
"05/07/2023","324.86","322.25","327.00","321.15","221.39M","0.66%"
"04/30/2023","322.72","321.92","323.59","314.95","259.45M","0.10%"
"04/23/2023","322.39","316.21","322.48","309.73","281.71M","1.88%"
"04/16/2023","316.44","317.98","321.25","313.94","250.18M","-0.62%"
"04/09/2023","318.40","314.90","320.19","312.40","258.95M","0.16%"
"04/02/2023","317.88","318.60","321.46","312.66","202.71M","-0.90%"
"03/26/2023","320.76","311.44","321.00","304.61","272.64M","3.23%"
"03/19/2023","310.73","304.10","315.08","301.85","313.73M","1.81%"
"03/12/2023","305.20","286.58","308.99","285.04","442.84M","5.83%"
"03/05/2023","288.40","300.78","303.84","287.23","343.62M","-3.71%"
"02/26/2023","299.52","294.92","299.76","288.22","269.78M","2.68%"
"02/19/2023","291.70","297.10","298.57","289.90","241.54M","-3.09%"
"02/12/2023","301.00","300.97","309.11","297.94","264.87M","0.49%"
"02/05/2023","299.54","303.35","310.87","297.09","264.30M","-2.12%"
"01/29/2023","306.02","292.78","313.52","289.74","322.91M","3.35%"
"01/22/2023","296.10","283.39","298.10","281.03","256.59M","4.80%"
"01/15/2023","282.53","280.62","284.54","273.75","188.79M","0.61%"
"01/08/2023","280.82","270.69","281.07","268.83","230.30M","4.53%"
"01/01/2023","268.66","268.51","270.01","260.20","190.15M","0.95%"
"12/25/2022","266.14","266.60","267.26","259.59","168.90M","-0.40%"
"12/18/2022","267.22","273.73","274.64","262.32","241.28M","-2.51%"
"12/11/2022","274.11","282.07","296.72","272.47","310.24M","-2.76%"
"12/04/2022","281.89","290.23","291.53","278.63","231.49M","-3.59%"
"11/27/2022","292.40","284.75","295.59","279.02","254.34M","1.96%"
"11/20/2022","286.77","283.25","289.31","280.31","143.85M","0.74%"
"11/13/2022","284.67","285.71","293.11","280.57","286.98M","-1.09%"
"11/06/2022","287.81","265.61","288.49","262.89","341.63M","8.80%"
"10/30/2022","264.54","278.77","281.92","258.94","321.79M","-5.88%"
"10/23/2022","281.07","275.55","284.45","271.83","307.29M","2.10%"
"10/16/2022","275.28","266.70","277.06","266.60","325.98M","5.63%"
"10/09/2022","260.60","269.16","271.67","254.13","367.63M","-3.11%"
"10/02/2022","268.96","268.93","284.03","267.39","308.57M","0.69%"
"09/25/2022","267.12","274.89","281.10","266.96","380.31M","-3.00%"
"09/18/2022","275.37","285.95","293.80","271.88","324.39M","-4.77%"
"09/11/2022","289.17","308.34","310.92","285.47","325.59M","-5.79%"
"09/04/2022","306.93","295.50","307.44","290.72","218.04M","4.04%"
"08/28/2022","295.02","304.46","307.06","292.80","272.21M","-3.99%"
"08/21/2022","307.28","318.33","321.34","307.19","235.80M","-4.78%"
"08/14/2022","322.69","329.25","334.25","321.91","221.00M","-2.28%"
"08/07/2022","330.22","322.52","330.41","315.25","222.12M","2.69%"
"07/31/2022","321.58","313.49","324.55","311.68","241.64M","1.99%"
"07/24/2022","315.29","301.86","316.22","293.39","272.60M","4.46%"
"07/17/2022","301.83","294.57","308.39","288.05","294.64M","3.47%"
"07/10/2022","291.72","292.73","292.96","279.65","312.57M","-1.18%"
"07/03/2022","295.19","278.16","296.59","276.60","241.54M","4.68%"
"06/26/2022","281.98","295.84","296.42","275.64","309.31M","-4.24%"
"06/19/2022","294.46","278.60","294.89","277.76","234.99M","7.25%"
"06/12/2022","274.55","279.60","286.68","269.14","409.80M","-4.90%"
"06/05/2022","288.69","310.59","312.19","288.23","276.89M","-5.67%"
"05/29/2022","306.04","308.91","314.39","303.24","246.52M","-0.94%"
"05/22/2022","308.94","289.60","309.09","282.10","330.73M","7.07%"
"05/15/2022","288.53","299.99","306.40","280.06","373.07M","-4.39%"
"05/08/2022","301.78","303.32","309.19","284.79","582.43M","-2.37%"
"05/01/2022","309.09","312.67","330.12","304.94","603.96M","-1.28%"
"04/24/2022","313.09","323.56","329.73","312.44","510.21M","-3.73%"
"04/17/2022","325.23","337.17","347.69","324.79","338.94M","-3.85%"
"04/10/2022","338.25","344.63","347.51","337.86","273.78M","-3.07%"
"04/03/2022","348.97","362.52","369.12","348.32","324.50M","-3.51%"
"03/27/2022","361.66","359.15","371.63","357.88","315.20M","0.70%"
"03/20/2022","359.16","350.02","360.48","345.39","318.90M","2.23%"
"03/13/2022","351.31","322.96","351.61","317.28","414.77M","8.35%"
"03/06/2022","324.23","337.11","338.30","319.77","406.40M","-3.82%"
"02/27/2022","337.12","342.33","349.86","334.74","363.63M","-2.45%"
"02/20/2022","345.59","338.31","345.80","318.09","381.64M","1.25%"
"02/13/2022","341.33","346.31","356.90","338.96","336.40M","-1.60%"
"02/06/2022","346.88","358.43","366.62","345.62","392.72M","-3.06%"
"01/30/2022","357.82","353.01","369.91","351.34","429.24M","1.76%"
"01/23/2022","351.62","345.72","356.69","333.97","673.83M","0.03%"
"01/16/2022","351.51","373.84","376.02","351.22","389.60M","-7.45%"
"01/09/2022","379.81","374.62","390.00","369.12","372.76M","0.04%"
"01/02/2022","379.66","398.84","402.07","377.84","317.81M","-4.52%"
"12/26/2021","397.64","398.04","404.37","397.13","156.79M","0.23%"
