"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","82.99","82.35","83.32","82.17","2.89M","1.21%"
"2024- 09- 01","82.00","84.19","84.38","81.86","12.92M","-2.99%"
"2024- 08- 25","84.53","83.76","84.57","83.10","12.49M","1.21%"
"2024- 08- 18","83.52","82.03","83.56","82.00","11.80M","1.90%"
"2024- 08- 11","81.96","80.41","82.01","79.61","11.97M","2.23%"
"2024- 08- 04","80.17","79.32","80.44","78.76","19.01M","-0.78%"
"2024- 07- 28","80.80","82.47","83.19","79.91","15.94M","-2.02%"
"2024- 07- 21","82.47","81.11","82.60","80.17","14.15M","1.68%"
"2024- 07- 14","81.11","79.88","82.94","79.72","15.85M","1.85%"
"2024- 07- 07","79.64","77.07","80.03","76.79","15.06M","3.40%"
"2024- 06- 30","77.02","78.00","78.39","76.71","13.62M","-0.95%"
"2024- 06- 23","77.76","78.45","79.36","76.97","14.60M","-0.46%"
"2024- 06- 16","78.12","76.64","78.37","76.43","11.57M","1.73%"
"2024- 06- 09","76.79","77.68","78.27","76.25","13.78M","-1.41%"
"2024- 06- 02","77.89","78.70","78.70","77.58","12.74M","-0.87%"
"2024- 05- 26","78.57","78.16","78.59","76.36","11.49M","0.60%"
"2024- 05- 19","78.10","80.09","80.09","77.94","13.32M","-2.47%"
"2024- 05- 12","80.08","79.51","80.23","79.40","11.69M","0.98%"
"2024- 05- 05","79.30","78.27","79.38","77.98","13.62M","1.71%"
"2024- 04- 28","77.97","77.58","78.30","76.62","13.58M","0.63%"
"2024- 04- 21","77.48","76.98","78.18","76.64","14.37M","1.08%"
"2024- 04- 14","76.65","77.43","77.62","75.53","16.50M","-0.21%"
"2024- 04- 07","76.81","79.06","79.55","76.65","20.45M","-2.78%"
"2024- 03- 31","79.01","80.69","80.79","78.39","18.07M","-2.01%"
"2024- 03- 24","80.63","79.38","80.82","78.86","14.78M","1.57%"
"2024- 03- 17","79.38","78.93","80.05","78.21","19.92M","1.04%"
"2024- 03- 10","78.56","78.48","79.56","78.28","16.35M","0.17%"
"2024- 03- 03","78.43","78.18","78.98","77.88","17.23M","0.36%"
"2024- 02- 25","78.15","77.89","78.25","77.27","14.54M","0.33%"
"2024- 02- 18","77.89","76.81","78.14","76.67","14.82M","1.18%"
"2024- 02- 11","76.98","76.82","77.47","75.48","17.72M","0.25%"
"2024- 02- 04","76.79","76.81","77.16","76.16","16.08M","-0.27%"
"2024- 01- 28","77.00","77.08","77.35","75.91","17.55M","-0.03%"
"2024- 01- 21","77.02","76.68","77.28","76.38","19.90M","0.56%"
"2024- 01- 14","76.59","76.10","76.75","74.91","16.88M","0.42%"
"2024- 01- 07","76.27","76.27","76.88","75.61","20.26M","-0.13%"
"2023- 12- 31","76.37","75.86","77.00","75.84","18.03M","0.32%"
"2023- 12- 24","76.13","75.93","76.45","75.85","14.27M","0.37%"
"2023- 12- 17","75.85","75.81","76.16","74.76","17.73M","0.53%"
"2023- 12- 10","75.45","72.82","75.97","72.76","25.50M","4.04%"
"2023- 12- 03","72.52","72.80","73.50","72.03","22.80M","-0.86%"
"2023- 11- 26","73.15","71.62","73.19","71.20","20.13M","1.88%"
"2023- 11- 19","71.80","70.98","71.81","70.91","12.04M","0.93%"
"2023- 11- 12","71.14","69.20","71.52","69.00","17.60M","2.45%"
"2023- 11- 05","69.44","70.25","70.37","68.61","16.85M","-1.15%"
"2023- 10- 29","70.25","67.30","70.56","67.19","23.39M","5.01%"
"2023- 10- 22","66.90","69.14","69.52","66.67","21.49M","-3.45%"
"2023- 10- 15","69.29","70.81","71.60","69.28","15.91M","-1.46%"
"2023- 10- 08","70.32","69.72","71.14","69.61","14.04M","0.99%"
"2023- 10- 01","69.63","70.69","70.70","68.46","22.01M","-1.60%"
"2023- 09- 24","70.76","71.14","71.49","70.14","15.61M","-0.74%"
"2023- 09- 17","71.29","73.72","73.83","71.26","15.24M","-3.18%"
"2023- 09- 10","73.63","73.94","74.40","73.35","11.81M","-0.05%"
"2023- 09- 03","73.67","74.67","74.73","73.08","11.22M","-1.34%"
"2023- 08- 27","74.67","73.66","75.08","73.50","11.49M","1.81%"
"2023- 08- 20","73.34","73.60","74.07","72.77","12.78M","-0.30%"
"2023- 08- 13","73.56","74.45","74.53","72.91","12.50M","-1.35%"
"2023- 08- 06","74.57","74.37","75.15","73.82","11.04M","0.55%"
"2023- 07- 30","74.16","75.74","75.84","74.06","14.72M","-1.94%"
"2023- 07- 23","75.63","75.08","76.03","74.96","14.64M","0.88%"
"2023- 07- 16","74.97","73.17","75.16","72.94","15.27M","2.17%"
"2023- 07- 09","73.38","71.82","73.89","71.81","14.96M","2.19%"
"2023- 07- 02","71.81","72.51","73.07","71.54","9.20M","-1.12%"
"2023- 06- 25","72.62","70.71","72.76","70.61","15.53M","2.70%"
"2023- 06- 18","70.71","73.05","73.10","70.64","11.61M","-3.59%"
"2023- 06- 11","73.34","71.85","73.83","71.68","17.49M","2.24%"
"2023- 06- 04","71.73","71.31","72.10","70.53","15.06M","0.69%"
"2023- 05- 28","71.24","70.49","71.34","69.12","15.33M","1.15%"
"2023- 05- 21","70.43","70.59","71.18","69.11","18.15M","-0.23%"
"2023- 05- 14","70.59","70.11","70.99","69.15","15.10M","0.77%"
"2023- 05- 07","70.05","71.02","71.14","69.47","16.70M","-1.32%"
"2023- 04- 30","70.99","72.52","72.96","69.52","19.63M","-2.18%"
"2023- 04- 23","72.57","73.19","73.41","70.79","14.48M","-0.81%"
"2023- 04- 16","73.16","73.60","74.21","72.90","12.09M","-0.57%"
"2023- 04- 09","73.58","72.86","74.08","72.65","13.41M","0.85%"
"2023- 04- 02","72.96","73.31","73.68","72.52","11.44M","-0.27%"
"2023- 03- 26","73.16","71.48","73.21","70.92","14.90M","3.27%"
"2023- 03- 19","70.84","70.94","72.45","69.66","19.07M","0.47%"
"2023- 03- 12","70.51","70.79","72.18","70.01","30.37M","-2.02%"
"2023- 03- 05","71.96","75.57","75.87","71.63","17.80M","-4.78%"
"2023- 02- 26","75.57","75.37","75.67","74.04","15.52M","0.95%"
"2023- 02- 19","74.86","76.39","76.43","74.27","12.91M","-2.67%"
"2023- 02- 12","76.91","76.98","77.66","76.35","13.78M","0.14%"
"2023- 02- 05","76.80","77.00","77.57","75.88","15.82M","-0.79%"
"2023- 01- 29","77.41","76.05","78.16","75.96","21.36M","1.38%"
"2023- 01- 22","76.36","76.10","76.95","75.62","15.47M","0.55%"
"2023- 01- 15","75.94","77.88","77.93","74.81","14.14M","-2.58%"
"2023- 01- 08","77.95","77.95","78.23","76.71","16.69M","0.41%"
"2023- 01- 01","77.63","75.83","77.85","74.90","12.57M","2.77%"
"2022- 12- 25","75.54","75.74","76.15","74.87","12.80M","-0.07%"
"2022- 12- 18","75.59","74.95","75.88","73.97","17.36M","1.02%"
"2022- 12- 11","74.83","76.20","78.73","74.20","19.74M","-1.55%"
"2022- 12- 04","76.01","78.48","78.55","75.76","17.44M","-3.80%"
"2022- 11- 27","79.01","77.87","79.49","76.73","17.12M","0.73%"
"2022- 11- 20","78.44","76.85","78.61","76.70","10.60M","1.95%"
"2022- 11- 13","76.94","76.79","77.53","75.50","18.24M","0.03%"
"2022- 11- 06","76.92","73.69","77.13","73.30","18.60M","4.70%"
"2022- 10- 30","73.47","73.73","74.84","71.42","17.33M","-0.98%"
"2022- 10- 23","74.20","70.58","74.27","70.52","14.62M","5.85%"
"2022- 10- 16","70.10","68.93","70.47","68.30","14.46M","3.18%"
"2022- 10- 09","67.94","67.91","69.90","65.96","16.65M","0.52%"
"2022- 10- 02","67.59","67.22","70.27","66.95","15.44M","1.75%"
"2022- 09- 25","66.43","67.81","68.60","66.34","22.53M","-2.41%"
"2022- 09- 18","68.07","70.60","71.78","67.22","23.26M","-4.38%"
"2022- 09- 11","71.19","74.45","74.97","70.48","14.92M","-4.15%"
"2022- 09- 04","74.27","72.28","74.42","71.52","8.79M","3.11%"
"2022- 08- 28","72.03","73.93","74.35","71.72","13.66M","-3.02%"
"2022- 08- 21","74.27","76.61","76.68","74.23","10.29M","-3.83%"
"2022- 08- 14","77.23","76.76","78.16","76.60","12.95M","-0.01%"
"2022- 08- 07","77.24","74.85","77.27","74.35","10.46M","3.52%"
"2022- 07- 31","74.61","74.08","74.81","73.82","11.38M","0.24%"
"2022- 07- 24","74.43","72.37","74.57","72.13","12.12M","3.12%"
"2022- 07- 17","72.18","72.25","72.81","71.03","10.81M","0.52%"
"2022- 07- 10","71.81","72.19","72.64","69.88","12.11M","-0.95%"
"2022- 07- 03","72.50","71.25","72.84","70.17","9.85M","0.46%"
"2022- 06- 26","72.17","73.22","73.88","70.87","14.35M","-1.15%"
"2022- 06- 19","73.01","71.38","73.01","70.35","11.77M","3.84%"
"2022- 06- 12","70.31","73.31","73.64","69.86","22.60M","-5.88%"
"2022- 06- 05","74.70","78.57","78.92","74.64","12.35M","-4.29%"
"2022- 05- 29","78.05","78.71","79.05","77.05","9.78M","-1.35%"
"2022- 05- 22","79.12","75.40","79.12","74.70","15.27M","5.87%"
"2022- 05- 15","74.73","76.15","78.02","73.22","17.27M","-2.06%"
"2022- 05- 08","76.30","76.18","76.91","74.27","22.71M","-0.95%"
"2022- 05- 01","77.03","75.65","78.88","74.54","22.30M","1.84%"
"2022- 04- 24","75.64","77.36","78.08","75.48","19.26M","-2.73%"
"2022- 04- 17","77.76","78.64","81.01","77.68","14.79M","-1.19%"
