"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","546.41","544.68","547.70","542.71","40.45M","1.12%"
"2024- 09- 01","540.36","560.47","560.81","539.44","220.58M","-4.14%"
"2024- 08- 25","563.68","563.18","564.20","555.04","210.96M","0.28%"
"2024- 08- 18","562.13","554.73","563.18","553.86","221.13M","1.41%"
"2024- 08- 11","554.31","534.21","555.02","530.95","242.60M","4.00%"
"2024- 08- 04","532.99","511.64","534.51","510.27","410.69M","0.02%"
"2024- 07- 28","532.90","546.02","554.87","528.60","311.25M","-2.12%"
"2024- 07- 21","544.44","553.00","556.74","537.45","267.22M","-0.83%"
"2024- 07- 14","548.99","562.03","565.16","547.91","255.96M","-1.96%"
"2024- 07- 07","559.99","555.44","563.67","554.19","208.26M","0.96%"
"2024- 06- 30","554.64","545.63","555.05","542.52","155.01M","1.91%"
"2024- 06- 23","544.22","544.33","550.28","542.44","233.54M","-0.05%"
"2024- 06- 16","544.51","542.08","550.12","541.61","232.06M","0.32%"
"2024- 06- 09","542.78","533.18","544.12","532.05","220.21M","1.64%"
"2024- 06- 02","534.01","529.02","536.89","522.60","203.11M","1.26%"
"2024- 05- 26","527.37","530.27","530.51","518.36","218.71M","-0.39%"
"2024- 05- 19","529.44","529.57","533.07","524.72","218.09M","0.00%"
"2024- 05- 12","529.45","522.56","531.52","519.74","263.19M","1.65%"
"2024- 05- 05","520.84","513.75","522.63","513.30","237.75M","1.87%"
"2024- 04- 28","511.29","510.09","512.55","499.55","339.45M","0.60%"
"2024- 04- 21","508.26","497.83","509.88","495.43","321.95M","2.65%"
"2024- 04- 14","495.16","515.13","515.30","493.86","418.26M","-3.07%"
"2024- 04- 07","510.85","519.15","520.75","509.08","361.84M","-1.46%"
"2024- 03- 31","518.43","523.83","524.38","512.75","367.27M","-0.89%"
"2024- 03- 24","523.07","519.80","524.61","518.40","293.27M","0.36%"
"2024- 03- 17","521.21","514.00","524.11","511.12","358.57M","2.23%"
"2024- 03- 10","509.83","510.48","517.38","508.12","408.59M","-0.37%"
"2024- 03- 03","511.72","512.03","518.22","504.91","336.22M","-0.22%"
"2024- 02- 25","512.85","508.30","513.29","504.75","316.52M","0.98%"
"2024- 02- 18","507.85","497.72","510.13","493.56","269.06M","1.67%"
"2024- 02- 11","499.51","501.17","503.50","490.71","375.21M","-0.34%"
"2024- 02- 04","501.20","493.69","501.65","490.23","318.56M","1.39%"
