"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","59.11","58.57","59.47","57.35","55.42M","3.72%"
"2024- 09- 01","56.99","67.26","67.32","56.72","262.22M","-16.94%"
"2024- 08- 25","68.61","70.27","70.67","65.16","244.06M","-2.72%"
"2024- 08- 18","70.53","68.68","73.16","67.89","274.35M","2.75%"
"2024- 08- 11","68.64","59.23","69.25","58.11","269.37M","16.64%"
"2024- 08- 04","58.85","49.33","59.53","48.80","471.03M","0.19%"
"2024- 07- 28","58.74","66.27","70.22","57.00","426.33M","-9.74%"
"2024- 07- 21","65.08","73.65","75.13","62.13","342.52M","-8.42%"
"2024- 07- 14","71.06","81.47","83.62","70.44","293.15M","-11.88%"
"2024- 07- 07","80.64","81.81","85.20","78.70","236.82M","-1.21%"
"2024- 06- 30","81.63","74.16","81.85","72.42","148.64M","10.58%"
"2024- 06- 23","73.82","73.82","77.53","71.80","213.42M","-0.78%"
"2024- 06- 16","74.40","74.28","77.72","73.67","171.48M","0.31%"
"2024- 06- 09","74.17","66.59","74.21","66.48","213.54M","10.50%"
"2024- 06- 02","67.12","63.73","68.32","60.96","233.89M","7.34%"
"2024- 05- 26","62.53","65.86","66.10","58.96","195.89M","-4.32%"
"2024- 05- 19","65.35","63.02","66.51","62.80","215.16M","3.83%"
"2024- 05- 12","62.94","59.92","64.20","58.98","224.49M","6.37%"
"2024- 05- 05","59.17","57.42","60.07","57.12","213.99M","4.36%"
"2024- 04- 28","56.70","56.08","57.11","51.20","355.69M","2.57%"
"2024- 04- 21","55.28","50.38","55.87","49.17","373.79M","11.72%"
"2024- 04- 14","49.48","60.20","60.23","48.85","481.02M","-15.74%"
"2024- 04- 07","58.72","60.21","62.06","58.06","365.82M","-1.90%"
"2024- 03- 31","59.86","61.92","62.99","57.74","328.03M","-2.76%"
"2024- 03- 24","61.56","61.48","63.01","60.71","189.53M","-1.71%"
"2024- 03- 17","62.63","59.88","63.95","57.68","311.34M","8.43%"
"2024- 03- 10","57.76","59.41","62.04","57.28","382.24M","-3.83%"
"2024- 03- 03","60.06","63.09","64.13","58.02","467.06M","-4.86%"
"2024- 02- 25","63.13","59.94","63.51","58.55","310.35M","5.89%"
"2024- 02- 18","59.62","56.58","61.22","53.82","318.79M","3.85%"
"2024- 02- 11","57.41","60.21","61.14","55.44","371.66M","-4.75%"
"2024- 02- 04","60.27","57.19","60.61","55.57","310.52M","5.29%"
"2024- 01- 28","57.24","55.61","57.68","52.58","399.88M","3.25%"
"2024- 01- 21","55.44","55.41","57.90","54.28","360.66M","1.65%"
"2024- 01- 14","54.54","49.88","54.62","47.87","340.46M","8.34%"
"2024- 01- 07","50.34","46.39","50.98","46.33","374.94M","9.48%"
"2023- 12- 31","45.98","49.35","49.43","45.47","329.15M","-9.31%"
"2023- 12- 24","50.70","50.64","52.01","50.00","209.44M","0.70%"
"2023- 12- 17","50.35","49.49","51.27","48.46","347.23M","2.25%"
"2023- 12- 10","49.24","44.67","49.79","44.60","441.98M","9.84%"
"2023- 12- 03","44.83","42.91","45.00","41.73","428.11M","1.33%"
"2023- 11- 26","44.24","44.01","45.73","42.84","408.53M","0.14%"
"2023- 11- 19","44.18","43.15","45.42","43.14","275.35M","2.36%"
"2023- 11- 12","43.16","40.25","43.78","39.75","484.16M","5.86%"
"2023- 11- 05","40.77","37.81","40.83","37.32","542.00M","8.49%"
"2023- 10- 29","37.58","31.95","37.98","31.58","641.33M","20.06%"
"2023- 10- 22","31.30","33.67","35.59","30.47","752.89M","-8.18%"
"2023- 10- 15","34.09","37.82","39.00","34.02","647.24M","-8.87%"
"2023- 10- 08","37.41","36.61","40.05","36.14","557.74M","0.16%"
"2023- 10- 01","37.35","35.67","37.69","34.04","634.33M","4.86%"
"2023- 09- 24","35.62","35.31","37.00","33.63","592.55M","-0.01%"
"2023- 09- 17","35.63","39.43","40.22","35.52","437.29M","-10.38%"
"2023- 09- 10","39.75","41.49","42.24","39.43","400.15M","-1.85%"
"2023- 09- 03","40.50","41.97","42.82","39.38","295.11M","-4.23%"
"2023- 08- 27","42.29","38.95","43.36","38.08","441.70M","11.17%"
"2023- 08- 20","38.04","36.87","40.90","36.35","529.21M","4.51%"
"2023- 08- 13","36.40","38.83","40.44","35.37","476.28M","-6.88%"
"2023- 08- 06","39.09","41.73","42.20","38.60","500.06M","-4.98%"
"2023- 07- 30","41.14","45.33","45.71","40.97","510.85M","-9.02%"
"2023- 07- 23","45.22","42.98","45.69","42.20","467.99M","5.93%"
"2023- 07- 16","42.69","44.28","47.14","42.51","490.85M","-3.02%"
"2023- 07- 09","44.02","39.76","45.36","38.93","457.83M","10.41%"
"2023- 07- 02","39.87","41.20","41.84","39.29","278.99M","-2.76%"
