"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 08","216.27","216.16","219.83","213.76","67.44M","2.63%"
"2024- 09- 01","210.73","215.26","235.00","209.64","388.90M","-1.58%"
"2024- 08- 25","214.11","218.75","219.09","202.59","311.92M","-2.82%"
"2024- 08- 18","220.32","217.07","228.22","210.32","381.62M","1.94%"
"2024- 08- 11","216.12","199.02","219.80","194.67","389.16M","8.06%"
"2024- 08- 04","200.00","185.22","203.88","182.00","368.93M","-3.69%"
"2024- 07- 28","207.67","224.90","234.68","205.78","464.00M","-5.52%"
"2024- 07- 21","219.80","244.21","255.76","214.71","576.34M","-8.11%"
"2024- 07- 14","239.20","255.97","265.60","236.83","587.10M","-3.64%"
"2024- 07- 07","248.23","247.71","271.00","233.09","824.14M","-1.31%"
"2024- 06- 30","251.52","201.02","252.37","200.85","661.80M","27.11%"
"2024- 06- 23","197.88","184.97","203.20","182.01","389.59M","8.13%"
"2024- 06- 16","183.01","177.92","188.81","177.00","297.69M","2.81%"
"2024- 06- 09","178.01","176.06","191.08","167.41","407.04M","0.30%"
"2024- 06- 02","177.48","178.13","182.64","172.13","312.71M","-0.34%"
"2024- 05- 26","178.08","176.40","182.67","173.16","259.62M","-0.65%"
"2024- 05- 19","179.24","177.56","186.88","173.26","402.87M","1.00%"
"2024- 05- 12","177.46","170.00","180.00","169.00","370.35M","5.34%"
"2024- 05- 05","168.47","183.80","187.56","167.75","377.98M","-7.02%"
"2024- 04- 28","181.19","188.42","198.87","176.02","628.37M","7.67%"
"2024- 04- 21","168.29","140.56","172.12","138.80","649.06M","14.44%"
"2024- 04- 14","147.05","170.24","170.69","146.22","462.86M","-14.03%"
"2024- 04- 07","171.05","169.34","179.22","167.79","451.43M","3.73%"
"2024- 03- 31","164.90","176.17","177.19","160.51","547.48M","-6.19%"
"2024- 03- 24","175.79","168.76","184.25","168.73","346.87M","2.90%"
"2024- 03- 17","170.83","170.02","178.18","165.90","418.09M","4.44%"
"2024- 03- 10","163.57","175.45","182.87","160.51","502.78M","-6.71%"
"2024- 03- 03","175.34","198.73","199.75","173.70","549.59M","-13.47%"
"2024- 02- 25","202.64","192.29","205.60","192.00","488.35M","5.56%"
"2024- 02- 18","191.97","196.13","199.44","189.13","379.97M","-3.99%"
"2024- 02- 11","199.95","192.11","203.17","182.11","495.64M","3.30%"
"2024- 02- 04","193.57","184.26","194.12","175.01","536.02M","3.01%"
"2024- 01- 28","187.91","185.63","196.36","182.00","540.67M","2.54%"
"2024- 01- 21","183.25","212.26","217.80","180.06","653.35M","-13.64%"
"2024- 01- 14","212.19","215.10","223.49","207.56","429.38M","-3.06%"
"2024- 01- 07","218.89","236.14","241.25","217.15","502.42M","-7.83%"
"2023- 12- 31","237.49","250.08","251.25","234.90","420.85M","-4.42%"
"2023- 12- 24","248.48","254.49","265.13","247.43","407.90M","-1.61%"
"2023- 12- 17","252.54","253.78","259.84","247.00","551.22M","-0.38%"
"2023- 12- 10","253.50","242.74","254.13","228.20","636.29M","3.96%"
"2023- 12- 03","243.84","235.75","246.66","233.29","578.78M","2.10%"
"2023- 11- 26","238.83","236.89","252.75","231.90","649.67M","1.44%"
"2023- 11- 19","235.45","234.04","244.01","231.02","422.09M","0.49%"
"2023- 11- 12","234.30","215.60","246.70","211.61","720.16M","9.15%"
"2023- 11- 05","214.65","223.98","226.32","205.69","614.24M","-2.41%"
"2023- 10- 29","219.96","209.28","226.37","194.07","621.70M","6.11%"
"2023- 10- 22","207.30","210.00","222.05","202.51","585.97M","-2.21%"
"2023- 10- 15","211.99","250.05","257.18","210.42","616.41M","-15.58%"
"2023- 10- 08","251.12","255.31","268.94","250.22","541.55M","-3.61%"
"2023- 10- 01","260.53","244.81","263.60","242.62","592.80M","4.12%"
"2023- 09- 24","250.22","243.38","254.77","234.58","588.81M","2.18%"
"2023- 09- 17","244.88","271.16","273.93","244.48","575.24M","-10.75%"
"2023- 09- 10","274.39","264.27","278.98","260.61","663.74M","10.42%"
"2023- 09- 03","248.50","245.00","258.00","243.26","480.30M","1.42%"
"2023- 08- 27","245.01","242.58","261.18","235.35","605.11M","2.69%"
"2023- 08- 20","238.59","221.55","240.82","220.58","573.77M","10.72%"
